Metabolite	KEGG	GWEIGHT	GLU 0.058	GLU 0.108	GLU 0.161	GLU 0.238	GLU 0.311	NH4 0.055	NH4 0.105	NH4 0.173	NH4 0.21	NH4 0.29	PO4 0.056	PO4 0.113	PO4 0.16	PO4 0.223	PO4 0.3	LEU 0.058	LEU 0.11	LEU 0.16	LEU 0.22	LEU 0.286	URA 0.056	URA 0.11	URA 0.15	URA 0.22	URA 0.31
arginine	C00062	1	-2.629367009	-3.137132384	-2.704799962	-0.892528456	0.089454352	-3.89850957	-3.209237812	-1.947143677	-0.420181899	0.486220063	0.998364127	1.012735897	0.891433972	0.613646889	0.297457329	2.787914758	2.176847409	2.086011668	1.700855745	0.866116803	0.800945417	1.049547385	1.399991856	1.424621765	0.156735333
asparagine	C00152	1	1.032299396	0.493349117	0.547576973	0.487733316	0.768072894	-3.654755617	-2.782721457	-4.447047443	-2.596576952	-0.096903507	1.276826278	1.223214597	0.824733591	0.81978004	0.057526037	-0.217451021	0.509056929	1.298828402	1.462924355	0.999127665	0.356603811	0.236210564	0.303538265	0.549644735	0.548409032
aspartate	C00049	1	-0.908778526	-1.564513918	-1.271217085	-0.811653464	-0.180034218	-0.519330274	-0.730170581	0.420662035	0.819447108	1.087912675	-0.180444649	-0.020309165	0.234408706	0.494604377	0.125919104	0.580814841	0.407605117	0.651200022	0.539010305	0.521175343	-0.93218278	0.030175735	0.466606962	0.682867643	0.056224688
ATP	C00002	1	0.562791256	0.952031209	0.781548338	0.594271955	0.778854065	-0.457590252	-0.18220274	0.038759588	0.04235113	-0.206193835	-1.670947703	-1.177401812	-0.835328847	-0.118055364	-0.119865461	-0.081436174	0.557350855	0.340292485	0.637550473	0.71887829	-0.296437649	-0.348307756	0.02999107	-0.38691415	-0.153988973
choline	C00114	1	-0.811284044	-3.209090191	-3.241765394	-3.398732793	-3.190004397	0.655171953	-0.99461309	-1.019547579	-1.095896798	-0.382850582	3.345763061	1.736359501	0.79665691	0.363435092	-1.638341935	4.308646291	3.152249225	2.0061002	0.287312691	-0.317191489	3.931994871	0.886552218	-0.137472328	-1.017067561	-1.016383834
citrate	C00158	1	-0.2768115	0.022134009	-0.764362043	-0.063173597	-2.682184982	2.820083011	2.724677914	2.21274594	1.694621411	-2.352362025	2.263665412	2.265621961	2.466041618	2.6863269	2.230707945	1.489319046	1.548904405	0.885485801	-0.097706922	0.234695236	-3.423811828	-4.625810961	-4.712027301	-3.760545435	-2.786234016
citrate/isocitrate	C00158/C00311	1	-0.338418365	-0.038465146	-0.776363035	0.024279055	-2.590209173	2.774073471	2.714184498	2.093319624	1.659439911	-2.303012506	2.261955192	2.365206745	2.577200743	2.713836801	2.286576884	1.508583647	1.566302153	0.866693208	-0.119150396	0.22128114	-3.386763866	-4.711264954	-4.67436678	-3.812245579	-2.882673272
citrulline	C00327	1	-0.504161478	0.403234524	0.963521465	0.596372687	4.495928061	-4.7049567	-4.575830956	-1.60271063	0.10348428	2.578513577	-1.18575116	-0.697549381	-0.813547481	-0.307589376	-0.686247585	-0.227656039	0.58024639	2.135270802	2.157667991	0.979121826	-1.311404331	-0.886288916	-1.439768605	0.301688112	3.648412922
CTP	C00063	1	0.433593657	1.022146908	0.88620798	0.648663391	1.188532768	-0.044524941	0.421732907	0.596462535	0.462049943	0.101918165	-1.827316931	-0.81368645	-0.723540327	-0.421987191	0.031141372	0.767463338	0.666393162	1.127281793	1.575676828	1.522337358	-2.268859585	-2.06982869	-1.391033026	-1.819936688	-0.070888277
cyclic AMP	C00575	1	-0.097840154	-0.097840154	-0.097840154	-0.097840154	-0.097840154	0.607049655	-0.097840154	-0.012370578	-0.091582578	-0.107884785	-0.097840154	0.415294181	-0.097840154	0.100557769	-0.097840154	-0.097840154	-0.097840154	-0.097840154	-0.097840154	-0.097840154	0.268877126	0.036092012	0.268112784	-0.016543283	-0.097840154
cystathionine	C00542	1	-0.49053362	-0.566717059	0.285703093	0.257795699	-1.094089269	-3.234700796	-1.180760191	-0.850010797	-1.061961098	-0.442425176	1.970563984	1.381066921	1.072664656	1.213465711	-1.739284513	1.633338035	1.736944422	2.097508603	1.528572845	1.163099868	-0.575247129	-0.437997186	-0.398549292	-1.108130876	-1.160316837
cytidine	C00475	1	-1.455693081	-1.455693081	-1.455693081	-1.420053847	-1.455693081	-1.975190451	-1.087424886	-1.112980486	-1.80817228	-0.318649749	5.33688147	4.29550732	3.497585592	2.117975315	0.817955566	0.829052371	1.150824888	0.962949504	0.638207475	0.477098999	-1.353095547	-1.061808952	-1.199712402	-1.281392568	-1.682785011
cytosine	C00380	1	-0.197733262	-0.197733262	-0.197733262	-1.104949758	-0.197733262	-1.069744934	-0.197733262	-0.904201641	-0.512037237	0.720164521	4.002652972	2.798514896	2.147223016	0.822392724	-0.643363322	0.115645031	-0.013103864	0.129858413	-0.502486931	-0.474869547	-1.169543069	-0.673974544	-1.209810125	-1.225453914	-0.244246376
dATP	C00131	1	-0.03403937	-0.263949655	-0.039076806	-0.58210139	1.330724823	0.060330822	0.529221404	0.578589847	0.65489321	1.164288367	-1.142622917	-0.928890303	-0.24012613	0.537193706	0.38097402	0.014817447	-0.418295548	-0.291597738	-0.019102203	0.037856408	-0.717274458	-0.798244389	-0.428973028	0.206265427	0.409138453
dCTP	C00705	1	0.034991067	0.712548095	0.860331805	0.024116195	0.323678593	-0.63325921	-0.116854323	1.239098664	1.461855212	-0.533843945	-0.63325921	0.161620715	0.099964574	-0.485565301	-0.63325921	0.088763331	0.068814572	0.108824989	0.147701057	-0.071823403	-0.63325921	-0.63325921	-0.63325921	-0.32955815	0.004891514
deoxyadenosine	C00559	1	0.912480125	0.912480125	0.912480125	-1.707716113	0.912480125	-0.925700171	0.912480125	0.719412594	-0.150500665	-0.217931891	1.331706787	2.131327728	1.035280542	-0.107984399	-0.300616832	0.22106187	-0.192155757	-0.510459092	-0.601437415	-1.20350134	-0.696622314	-1.180153291	-0.558011657	-0.885056083	-0.763343126
deoxyguanosine	C00330	1	-0.032206427	-0.032206427	-0.032206427	-0.165943476	-0.032206427	-0.747163716	-0.032206427	-0.508443174	-0.734471003	-0.50378469	2.507952728	2.486465291	1.651542988	0.404684187	-0.655376095	-0.165943476	-0.071523396	-0.165943476	-0.097495613	-0.165943476	-0.747163716	-0.747163716	-0.450645189	-0.614133095	-0.348475752
D-erythrose-4-phosphate	C00279	1	0.173328134	0.217598819	-0.118975255	0.699847003	-1.271860552	-0.23207823	-0.180946917	0.61211667	-0.297968462	-0.632534612	-0.206583688	-0.555921569	-0.671101602	-1.383666676	-1.542979097	1.168889044	1.418787128	1.160346504	1.580825756	1.712124168	0.473592014	-0.248764954	0.022182654	-0.392395359	-1.503860921
D-gluconate	C00257	1	-0.824678531	-0.200684536	-0.875222834	-0.220139897	-0.265071767	-0.535896713	0.445825293	0.023581933	-0.421042576	0.228313689	0.112590031	1.145561347	1.340590958	1.809553292	0.952603966	1.373867364	0.965228251	-0.038891269	-1.268230229	-0.695258893	-0.774286898	-0.773755637	-0.435262193	-0.479587292	-0.589706857
"D-glucono-1,5-lactone-6-phosphate"	C01236	1	-0.569662463	-0.247711316	-0.418569838	0.066657106	1.415620937	-0.202269418	0.837465466	0.172633091	0.671907439	1.80342252	-1.629716544	-1.629716544	-1.629716544	-1.270533352	-1.555428675	-0.15559869	0.311107818	0.493868534	0.799784697	0.933184913	-0.107887679	-0.356811811	0.682551208	0.467435356	1.117983793
D-glyceraldehyde-3-phosphate	C00661	1	-1.5817641	-1.79126071	-1.266017944	-1.385508918	0.172041218	-0.266525956	-0.255940513	0.279869788	0.569577741	0.289697138	-2.136795319	-0.680776696	-0.34188127	0.978670199	0.897928783	0.667852789	0.865779722	1.09829898	1.115330493	1.420990426	-0.477835967	0.230229466	0.605836315	0.733376206	0.258828129
